# Turn, 2D air gap, 3D air gap, 2D no air gap, 3D no air gap, D.C. case
1, 0.0749, 0.0618, 0.5725, 0.5064, 0.0350
2, 0.0650, 0.0557, 0.4655, 0.4648, 0.0379
3, 0.0570, 0.0501, 0.3929, 0.4411, 0.0407
4, 0.0527, 0.0481, 0.3547, 0.4322, 0.0435
5, 0.0551, 0.0521, 0.3486, 0.4402, 0.0463
6, 0.3676, 0.2880, 0.3685, 0.3361, 0.0350
7, 0.2932, 0.2331, 0.3139, 0.3048, 0.0379
8, 0.2194, 0.1726, 0.2731, 0.2863, 0.0407
9, 0.1614, 0.1255, 0.2501, 0.2832, 0.0435
10, 0.1278, 0.1021, 0.2509, 0.2999, 0.0463
11, 1.2025, 0.9296, 0.2219, 0.1963, 0.0350
12, 0.8549, 0.6964, 0.1882, 0.1762, 0.0379
13, 0.5508, 0.4556, 0.1643, 0.1669, 0.0407
14, 0.3398, 0.2802, 0.1539, 0.1728, 0.0435
15, 0.2200, 0.1854, 0.1627, 0.1985, 0.0463
16, 3.6829, 2.6304, 0.1260, 0.1013, 0.0350
17, 1.8590, 1.6056, 0.1029, 0.0925, 0.0379
18, 0.8946, 0.8140, 0.0879, 0.0873, 0.0407
19, 0.4316, 0.3918, 0.0850, 0.1001, 0.0435
20, 0.2216, 0.2046, 0.0991, 0.1321, 0.0463
21, 7.0907, 4.9960, 0.0784, 0.0537, 0.0350
22, 2.1009, 1.9424, 0.0601, 0.0458, 0.0379
23, 0.7949, 0.7424, 0.0491, 0.0477, 0.0407
24, 0.3167, 0.2920, 0.0496, 0.0640, 0.0435
25, 0.1224, 0.1166, 0.0662, 0.0992, 0.0463

