#Di Barba, 2017, Fig6a
# t[s], Omega[W]
0.2813599062133646, 174702.1723896286
0.9378663540445487, 191415.5571128241
1.9695193434935523, 207498.24807288017
2.6729191090269637, 204660.12613875262
3.610785463071512, 216012.6138752628
5.205158264947245, 231779.9579537491
8.628370457209847, 266468.11492641905
10.222743259085581, 283496.8465311843
11.160609613130129, 294533.98738612473
12.708089097303635, 308409.2501751927
14.021101992966003, 321023.1254379818
15.52168815943728, 334898.3882270497
17.069167643610786, 349719.6916608269
17.772567409144198, 357918.7105816398
18.757327080890974, 351611.77295024524
19.320046893317702, 337421.16327960754
19.88276670574443, 323861.2473721093
20.63305978898007, 307463.2095304835
21.430246189917938, 290434.4779257183
22.227432590855802, 276874.56201822
23.259085580304806, 259530.48353188505
24.29073856975381, 244709.1800981079
25.697538100820633, 230833.91730903994
26.916764361078545, 216958.65451997195
28.32356389214537, 203714.08549404345
29.636576787807737, 189838.82270497546
30.621336459554513, 186054.66012613874
31.98124267291911, 183531.88507358092
33.01289566236811, 182270.49754730202
34.13833528722157, 177855.64120532584
35.31066822977726, 172810.09110021024
36.67057444314185, 160196.21583742116
37.98358733880422, 143798.17799579538
39.343493552168816, 129922.9152067274
41.125439624853456, 120777.85564120533
43.65767878077374, 123300.63069376313
44.7831184056272, 123300.63069376313
47.409144196951935, 115101.61177295024
49.660023446658855, 105010.51156271898
50.175849941383355, 94919.41135248773
52.708089097303635, 93973.37070777855
55.56858147713951, 93027.33006306937
59.36694021101993, 84512.96426068676
63.259085580304806, 73475.82340574631
66.96365767878078, 70322.35459004906
70.48065650644783, 66538.19201121233
72.6377491207503, 65276.804484933426
74.98241500586167, 64330.763840224245
77.74912075029309, 62754.02943237561
79.57796014067995, 61807.98878766643
