#T[C],cp[J/kg/K]
0,481.06
50,486.09
100,494.04
200,522.93
300,561.03
400,599.13
500,669.89
600,720.13
650,749.86
700,808.89
710,870.02
720,919.84
730,1170.0
747,1470.0
760,1620.2
770,1699.8
775,1660.2
780,1630.7
785,1589.7
787,1520.7
790,1459.7
800,1353.0
850,979.40
900,766.15
1000,658.02
1100,655.97
1200,661.93
1300,709.69
1302,709.72
1304,709.75
1306,709.78
1308,709.81
1310,709.85
1312,709.89
1314,709.93
1316,709.99
1318,710.05
1320,710.12
1322,710.21
1324,710.33
1326,710.48
1328,710.68
1330,710.93
1332,711.27
1334,711.72
1336,712.30
1338,713.07
1340,714.07
1342,715.37
1344,717.05
1346,719.21
1348,721.98
1350,725.49
1352,729.92
1354,735.47
1356,742.39
1358,750.94
1360,761.45
1362,774.26
1364,789.77
1366,808.42
1368,830.68
1370,857.04
1372,888.05
1374,924.25
1376,966.18
1378,1014.4
1380,1069.4
1382,1131.6
1384,1201.5
1386,1279.3
1388,1365.3
1390,1459.5
1392,1561.7
1394,1671.8
1396,1789.1
1398,1913.0
1400,2042.6
1402,2176.8
1404,2314.3
1406,2453.4
1408,2592.5
1410,2729.7
1412,2863.1
1414,2990.8
1416,3110.5
1418,3220.5
1420,3318.7
1422,3403.6
1424,3473.4
1426,3527.0
1428,3563.3
1430,3581.6
1432,3581.6
1434,3563.4
1436,3527.1
1438,3473.6
1440,3403.8
1442,3319.1
1444,3220.9
1446,3111.0
1448,2991.2
1450,2863.7
1452,2730.3
1454,2593.1
1456,2454.1
1458,2315.0
1460,2177.6
1462,2043.5
1464,1913.9
1466,1790.1
1468,1672.8
1470,1562.8
1472,1460.6
1474,1366.5
1476,1280.6
1478,1202.8
1480,1133.0
1482,1070.8
1484,1015.9
1486,967.70
1488,925.83
1490,889.69
1492,858.73
1494,832.42
1496,810.22
1498,791.63
1500,776.17
1600,820.00
1700,890.11
1800,900.16
