# Frequency [Hz], Real(S21), Imag(S21)
1.000000000000000000e+10, -1.207397856224798685e-02, 1.120425775711689741e-02
1.002000000000000000e+10, -1.214825246121177538e-02, 1.198424328012000911e-02
1.004000000000000000e+10, -1.225532873082259104e-02, 1.285185542117620212e-02
1.006000000000000000e+10, -1.239140873089648702e-02, 1.381681543294924555e-02
1.008000000000000000e+10, -1.256160999269987678e-02, 1.490035343186301396e-02
1.010000000000000000e+10, -1.276817287560071471e-02, 1.612466817451306197e-02
1.012000000000000000e+10, -1.301459221702204114e-02, 1.751830421556243092e-02
1.014000000000000000e+10, -1.330544299553173583e-02, 1.911790327023798683e-02
1.016000000000000000e+10, -1.364661634080822916e-02, 2.097124860273218150e-02
1.018000000000000000e+10, -1.404566940997413818e-02, 2.314184460712011629e-02
1.020000000000000000e+10, -1.451229532507366214e-02, 2.571596123942581497e-02
1.022000000000000000e+10, -1.505892784155979554e-02, 2.881383174058126106e-02
1.024000000000000000e+10, -1.570145454158621695e-02, 3.260816456708625494e-02
1.026000000000000000e+10, -1.645985024190380758e-02, 3.735621140695075809e-02
1.028000000000000000e+10, -1.735798076481960203e-02, 4.345854879503774360e-02
1.030000000000000000e+10, -1.841985856007989641e-02, 5.157461606150025302e-02
1.032000000000000000e+10, -1.965220913542849168e-02, 6.287082649142480828e-02
1.034000000000000000e+10, -2.097143223766864684e-02, 7.961900673268183792e-02
1.036000000000000000e+10, -2.186742076962569503e-02, 1.068897864808786569e-01
1.038000000000000000e+10, -1.941704779863801314e-02, 1.586068056910202029e-01
1.040000000000000000e+10, 1.141781701341587629e-02, 2.886434241732929729e-01
1.042000000000000000e+10, 6.697451692713010107e-01, 5.769934129267001444e-01
1.044000000000000000e+10, 2.457665488684904753e-01, -3.386513772063441396e-01
1.046000000000000000e+10, 7.481575481217614398e-02, -1.907698298680551019e-01
1.048000000000000000e+10, 3.696635429422536617e-02, -1.309297775332456670e-01
1.050000000000000000e+10, 2.171782015805959198e-02, -1.004211113336984790e-01
1.052000000000000000e+10, 1.365843140771299397e-02, -8.212895193928919368e-02
1.054000000000000000e+10, 8.685741694705546856e-03, -7.000561633725606303e-02
1.056000000000000000e+10, 5.290898693936799992e-03, -6.141710665906540551e-02
1.058000000000000000e+10, 2.799549839975204110e-03, -5.504417569444509939e-02
1.060000000000000000e+10, 8.660540222084953501e-04, -5.014107131145244256e-02
1.062000000000000000e+10, -7.021063504697902091e-04, -4.627395648236724141e-02
1.064000000000000000e+10, -2.022052090954657745e-03, -4.316057884955142726e-02
1.066000000000000000e+10, -3.168700229347650669e-03, -4.061423934639989825e-02
1.068000000000000000e+10, -4.192452735855840829e-03, -3.850606496363983416e-02
1.070000000000000000e+10, -5.128692461623124942e-03, -3.674430626101293090e-02
1.072000000000000000e+10, -6.003233152946759604e-03, -3.526195081371496370e-02
1.074000000000000000e+10, -6.835603098110187500e-03, -3.400899343710361150e-02
1.076000000000000000e+10, -7.641108546214124032e-03, -3.294744222627682406e-02
1.078000000000000000e+10, -8.432180633298898623e-03, -3.204799526127335291e-02
1.080000000000000000e+10, -9.219286967208386446e-03, -3.128777196293595908e-02
1.082000000000000000e+10, -1.001157144602087164e-02, -3.064872986001125968e-02
1.084000000000000000e+10, -1.081732117022091849e-02, -3.011653845753917841e-02
1.086000000000000000e+10, -1.164432244542349358e-02, -2.967976513756348869e-02
1.088000000000000000e+10, -1.250014629813634218e-02, -2.932927867997780699e-02
1.090000000000000000e+10, -1.339239107913866786e-02, -2.905780765621378270e-02
1.092000000000000000e+10, -1.432890206779766605e-02, -2.885961123115524107e-02
1.094000000000000000e+10, -1.531798356476859850e-02, -2.873023319801705847e-02
1.096000000000000000e+10, -1.636861668920610094e-02, -2.866631896708626490e-02
1.098000000000000000e+10, -1.749069540519652619e-02, -2.866548131099170421e-02
1.100000000000000000e+10, -1.869529393515182575e-02, -2.872620491744749469e-02
1.102000000000000000e+10, -1.999498064756714474e-02, -2.884778282986638631e-02
1.104000000000000000e+10, -2.140419691460871895e-02, -2.903028006748765294e-02
1.106000000000000000e+10, -2.293972471986520725e-02, -2.927452135048400766e-02
1.108000000000000000e+10, -2.462127465829647144e-02, -2.958210105991986721e-02
1.110000000000000000e+10, -2.647223753489531123e-02, -2.995541438605579115e-02
1.112000000000000000e+10, -2.852065984035723895e-02, -3.039770901442519560e-02
1.114000000000000000e+10, -3.080052882962687477e-02, -3.091315643916574610e-02
1.116000000000000000e+10, -3.335349149902962218e-02, -3.150694064725685639e-02
1.118000000000000000e+10, -3.623119125480826069e-02, -3.218535845898205100e-02
1.120000000000000000e+10, -3.949849979474383960e-02, -3.295591818547339430e-02
1.122000000000000000e+10, -4.323807379578586269e-02, -3.382740789844841667e-02
1.124000000000000000e+10, -4.755692114312671387e-02, -3.480987402971812139e-02
1.126000000000000000e+10, -5.259612578588292869e-02, -3.591440100011207559e-02
1.128000000000000000e+10, -5.854617781867610393e-02, -3.715270968137549673e-02
1.130000000000000000e+10, -6.565495640387358778e-02, -3.852782486576858401e-02
1.132000000000000000e+10, -7.431850650160214122e-02, -4.005688273482593820e-02
1.134000000000000000e+10, -8.505491862944219994e-02, -4.171682889067790390e-02
1.136000000000000000e+10, -9.868553356855964964e-02, -4.345722036414673140e-02
1.138000000000000000e+10, -1.165086546623827490e-01, -4.512755042048256088e-02
1.140000000000000000e+10, -1.407076442189399701e-01, -4.632637140946820747e-02
1.142000000000000000e+10, -1.752241315919412235e-01, -4.595720774388543928e-02
1.144000000000000000e+10, -2.278215906504157673e-01, -4.074640203211766371e-02
1.146000000000000000e+10, -3.153245818385178589e-01, -1.924676123262710967e-02
1.148000000000000000e+10, -4.741080502025579735e-01, 6.948814893921455293e-02
1.150000000000000000e+10, -6.597995252738886318e-01, 4.908461404239243819e-01
1.152000000000000000e+10, 8.699594528055031029e-02, 9.200412254993093342e-01
1.154000000000000000e+10, 3.637117576317217549e-01, 4.252116178535729207e-01
1.156000000000000000e+10, 3.012681653067323384e-01, 2.151713114300318475e-01
1.158000000000000000e+10, 2.425576675530934645e-01, 1.297447275169422432e-01
1.160000000000000000e+10, 2.020317678038534293e-01, 8.677292362755489874e-02
1.162000000000000000e+10, 1.737171831651006526e-01, 6.160109100977374796e-02
1.164000000000000000e+10, 1.531766699063993320e-01, 4.523135046215339544e-02
1.166000000000000000e+10, 1.377421647096642998e-01, 3.374708591098543597e-02
1.168000000000000000e+10, 1.258045712966976981e-01, 2.521253009048195562e-02
1.170000000000000000e+10, 1.163553873686746232e-01, 1.857331192168011277e-02
1.172000000000000000e+10, 1.087366618055182199e-01, 1.321036592992834782e-02
1.174000000000000000e+10, 1.025032542880449093e-01, 8.737752418839525234e-03
1.176000000000000000e+10, 9.734430870379923162e-02, 4.902697655652013715e-03
1.178000000000000000e+10, 9.303673123659102207e-02, 1.532572936360768927e-03
1.180000000000000000e+10, 8.941660138551646431e-02, -1.494909193267909267e-03
1.182000000000000000e+10, 8.636100878025222694e-02, -4.269286580545865462e-03
1.184000000000000000e+10, 8.377616498674528289e-02, -6.858175537076451229e-03
1.186000000000000000e+10, 8.158941322513767191e-02, -9.314185647351747727e-03
1.188000000000000000e+10, 7.974372932776080392e-02, -1.167948464532537860e-02
1.190000000000000000e+10, 7.819385613534550472e-02, -1.398890693208042560e-02
1.192000000000000000e+10, 7.690353372582273139e-02, -1.627213554312864283e-02
1.194000000000000000e+10, 7.584348003149525563e-02, -1.855528234033942264e-02
1.196000000000000000e+10, 7.498989472879480367e-02, -2.086207188438047103e-02
1.198000000000000000e+10, 7.432333385807037007e-02, -2.321476311699419495e-02
1.200000000000000000e+10, 7.382785060732073579e-02, -2.563489945006008561e-02
1.202000000000000000e+10, 7.349032912330975831e-02, -2.814395097485688016e-02
1.204000000000000000e+10, 7.329995914461402695e-02, -3.076389599058480112e-02
1.206000000000000000e+10, 7.324781351188866529e-02, -3.351777941165724750e-02
1.208000000000000000e+10, 7.332650116328900958e-02, -3.643028131376354478e-02
1.210000000000000000e+10, 7.352987994481510747e-02, -3.952833159805797109e-02
1.212000000000000000e+10, 7.385285229825969133e-02, -4.284183599255986241e-02
1.214000000000000000e+10, 7.429169873442295624e-02, -4.640492810772469529e-02
1.216000000000000000e+10, 7.482565496679562111e-02, -5.024230260362466671e-02
1.218000000000000000e+10, 7.548977444753675325e-02, -5.442910735705800557e-02
1.220000000000000000e+10, 7.624743598492457475e-02, -5.899017610046333043e-02
1.222000000000000000e+10, 7.710166356672711052e-02, -6.399155122433809739e-02
1.224000000000000000e+10, 7.804645195020820658e-02, -6.950394250259799012e-02
1.226000000000000000e+10, 7.907248848036538269e-02, -7.561126370482773584e-02
1.228000000000000000e+10, 8.016770983924802196e-02, -8.241485112401063240e-02
1.230000000000000000e+10, 8.131395985506449653e-02, -9.003774163956447529e-02
1.232000000000000000e+10, 8.248490915226437681e-02, -9.863112021691594622e-02
1.234000000000000000e+10, 8.364173667635135812e-02, -1.083826658069855509e-01
1.236000000000000000e+10, 8.472666706243717205e-02, -1.195279676630861404e-01
1.238000000000000000e+10, 8.565283112908204932e-02, -1.323662686398466293e-01
1.240000000000000000e+10, 8.628800408161022006e-02, -1.472824365060366736e-01
1.242000000000000000e+10, 8.642788880239983540e-02, -1.647779510554005789e-01
1.244000000000000000e+10, 8.575103379236792556e-02, -1.855149182660269236e-01
1.246000000000000000e+10, 8.374047723029111323e-02, -2.103785629375953814e-01
1.248000000000000000e+10, 7.954307116159298197e-02, -2.405644323120779138e-01
1.250000000000000000e+10, 7.170797157962251200e-02, -2.776930954078230540e-01
1.252000000000000000e+10, 5.768417023447355158e-02, -3.239312494133034237e-01
1.254000000000000000e+10, 3.282092195779002380e-02, -3.820207242274447634e-01
1.256000000000000000e+10, -1.162573917575819571e-02, -4.547547788400957414e-01
1.258000000000000000e+10, -9.226146605908987219e-02, -5.423109158370345018e-01
1.260000000000000000e+10, -2.385340111765675841e-01, -6.321315125718113270e-01
1.262000000000000000e+10, -4.857724884667582455e-01, -6.701556988850871921e-01
1.264000000000000000e+10, -8.019304563509794814e-01, -5.332992587438269982e-01
1.266000000000000000e+10, -9.790396462710095893e-01, -1.757066484942200746e-01
1.268000000000000000e+10, -8.883435568242498137e-01, 1.733159612082520729e-01
1.270000000000000000e+10, -6.882739621859995660e-01, 3.532256450543859172e-01
1.272000000000000000e+10, -5.109231895382293498e-01, 4.114303666342639665e-01
1.274000000000000000e+10, -3.810104558122258678e-01, 4.159523070047592697e-01
1.276000000000000000e+10, -2.887987588555300245e-01, 4.012289841307397076e-01
1.278000000000000000e+10, -2.222518811089374546e-01, 3.811745534374247901e-01
1.280000000000000000e+10, -1.727505865415512043e-01, 3.609986733483397936e-01
1.282000000000000000e+10, -1.346978238823596241e-01, 3.424921389733331933e-01
1.284000000000000000e+10, -1.045052108357906739e-01, 3.261301438301602018e-01
1.286000000000000000e+10, -7.982887279477864084e-02, 3.118903376225057311e-01
1.288000000000000000e+10, -5.909993461563495254e-02, 2.995791619919463411e-01
1.290000000000000000e+10, -4.123870858970423575e-02, 2.889604019660820811e-01
1.292000000000000000e+10, -2.548120079698542456e-02, 2.798043847885704483e-01
1.294000000000000000e+10, -1.127156236468894977e-02, 2.719047728896357152e-01
1.296000000000000000e+10, 1.802020656408507941e-03, 2.650794447783935692e-01
1.298000000000000000e+10, 1.406346987653769691e-02, 2.591767864198269988e-01
1.300000000000000000e+10, 2.575993694490496394e-02, 2.540599859632168833e-01
1.302000000000000000e+10, 3.709530393897819689e-02, 2.496123945036191338e-01
1.304000000000000000e+10, 4.823904315491878148e-02, 2.457304340880624161e-01
1.306000000000000000e+10, 5.933653123917905642e-02, 2.423205895272348698e-01
1.308000000000000000e+10, 7.051619617536260265e-02, 2.392964057391191446e-01
1.310000000000000000e+10, 8.189487935301159593e-02, 2.365758323382201878e-01
1.312000000000000000e+10, 9.358285767114785103e-02, 2.340798547056428258e-01
1.314000000000000000e+10, 1.056676438982392802e-01, 2.317075057414771933e-01
1.316000000000000000e+10, 1.182848825393405384e-01, 2.294133535544144731e-01
1.318000000000000000e+10, 1.315109828648729218e-01, 2.270773562542433011e-01
1.320000000000000000e+10, 1.454529161847761265e-01, 2.246052418811504969e-01
1.322000000000000000e+10, 1.602145642919949320e-01, 2.218849207069885365e-01
1.324000000000000000e+10, 1.759016228320650077e-01, 2.187880074238689743e-01
1.326000000000000000e+10, 1.926217240166809008e-01, 2.151658265785788837e-01
1.328000000000000000e+10, 2.104836851523062269e-01, 2.108445050591648273e-01
1.330000000000000000e+10, 2.295958080926648603e-01, 2.056191983600999251e-01
1.332000000000000000e+10, 2.500629195413991979e-01, 1.992473523087157083e-01
1.334000000000000000e+10, 2.719816911795611136e-01, 1.914409126106737247e-01
1.336000000000000000e+10, 2.954336017815046289e-01, 1.818574580922042438e-01
1.338000000000000000e+10, 3.204746845917950671e-01, 1.700903656934200370e-01
1.340000000000000000e+10, 3.471209378529763190e-01, 1.556583505371819109e-01
1.342000000000000000e+10, 3.753279781090340661e-01, 1.379951244357179585e-01
1.344000000000000000e+10, 4.049632241561201274e-01, 1.164405604100130498e-01
1.346000000000000000e+10, 4.357687084376025144e-01, 9.023574423862515403e-02
1.348000000000000000e+10, 4.673127099147759700e-01, 5.852574705228853758e-02
1.350000000000000000e+10, 4.989291349615789239e-01, 2.037592234201481001e-02
1.352000000000000000e+10, 5.296456304261439874e-01, -2.519027126167189615e-02
1.354000000000000000e+10, 5.581119314186924196e-01, -7.913113050298239970e-02
1.356000000000000000e+10, 5.824694236618894738e-01, -1.421879996110231581e-01
1.358000000000000000e+10, 6.004378617833435738e-01, -2.149168887626518032e-01
1.360000000000000000e+10, 6.091587597177720026e-01, -2.972066219457281666e-01
1.362000000000000000e+10, 6.054067774365760046e-01, -3.881531591258970404e-01
1.364000000000000000e+10, 5.858218015816433200e-01, -4.857400244797840383e-01
1.366000000000000000e+10, 5.473428200579513181e-01, -5.866480655566455038e-01
1.368000000000000000e+10, 4.877847621798347966e-01, -6.862623057630775625e-01
1.370000000000000000e+10, 4.064484439040685904e-01, -7.789802860346619617e-01
1.372000000000000000e+10, 3.045775715828127894e-01, -8.588484684291306515e-01
1.374000000000000000e+10, 1.854655141603937518e-01, -9.204205362828382642e-01
1.376000000000000000e+10, 5.410826893306901891e-02, -9.596051256823294739e-01
1.378000000000000000e+10, -8.352728741533498036e-02, -9.742374993829825414e-01
1.380000000000000000e+10, -2.213944898913440262e-01, -9.642091525079521386e-01
1.382000000000000000e+10, -3.541474153700649996e-01, -9.311675838413794315e-01
1.384000000000000000e+10, -4.776244265193885785e-01, -8.779482995692824421e-01
1.386000000000000000e+10, -5.889914981252003523e-01, -8.079492637887403239e-01
