#Position [m], Displacement [m]
0.000000000000000000e+00, -0.000000000000000000e+00
1.010101010101010187e-02, -2.905339095524811973e-07
2.020202020202020374e-02, -1.158209504296495989e-06
3.030303030303030387e-02, -2.597137583363487826e-06
4.040404040404040747e-02, -4.601428945883418910e-06
5.050505050505051108e-02, -7.165194390987521623e-06
6.060606060606060774e-02, -1.028254471780639286e-05
7.070707070707071829e-02, -1.394759072547041860e-05
8.080808080808081495e-02, -1.815444321311061757e-05
9.090909090909091161e-02, -2.289721297985780095e-05
1.010101010101010222e-01, -2.817001082484171776e-05
1.111111111111111188e-01, -3.396694754719444806e-05
1.212121212121212155e-01, -4.028213394604595091e-05
1.313131313131313260e-01, -4.710968082052640563e-05
1.414141414141414366e-01, -5.444369896976788211e-05
1.515151515151515194e-01, -6.227829919289971938e-05
1.616161616161616299e-01, -7.060759228905334360e-05
1.717171717171717404e-01, -7.942568905735916446e-05
1.818181818181818232e-01, -8.872670029694839126e-05
1.919191919191919338e-01, -9.850473680695079673e-05
2.020202020202020443e-01, -1.087539093864978070e-04
2.121212121212121271e-01, -1.194683288347202248e-04
2.222222222222222376e-01, -1.306421059507478365e-04
2.323232323232323482e-01, -1.422693515337124476e-04
2.424242424242424310e-01, -1.543441763827440747e-04
2.525252525252525415e-01, -1.668606912969733175e-04
2.626262626262626521e-01, -1.798130070755313715e-04
2.727272727272727626e-01, -1.931952345175488362e-04
2.828282828282828731e-01, -2.070014844221557148e-04
2.929292929292929282e-01, -2.212258675884836096e-04
3.030303030303030387e-01, -2.358624948156629573e-04
3.131313131313131493e-01, -2.509054769028240864e-04
3.232323232323232598e-01, -2.663489246490980842e-04
3.333333333333333703e-01, -2.821869488536154959e-04
3.434343434343434809e-01, -2.984136603155069481e-04
3.535353535353535914e-01, -3.150231698339034467e-04
3.636363636363636465e-01, -3.320095882079351305e-04
3.737373737373737570e-01, -3.493670262367333306e-04
3.838383838383838675e-01, -3.670895947194285111e-04
3.939393939393939781e-01, -3.851714044551511900e-04
4.040404040404040886e-01, -4.036065662430321022e-04
4.141414141414141992e-01, -4.223891908822018201e-04
4.242424242424242542e-01, -4.415133891717914582e-04
4.343434343434343647e-01, -4.609732719109315346e-04
4.444444444444444753e-01, -4.807629498987524589e-04
4.545454545454545858e-01, -5.008765339343852372e-04
4.646464646464646964e-01, -5.213081348169607129e-04
4.747474747474748069e-01, -5.420518633456089704e-04
4.848484848484848619e-01, -5.631018303194611782e-04
4.949494949494949725e-01, -5.844521465376481800e-04
5.050505050505050830e-01, -6.060969227993001683e-04
5.151515151515152491e-01, -6.280302699035485289e-04
5.252525252525253041e-01, -6.502462986495230208e-04
5.353535353535353591e-01, -6.727391198363548127e-04
5.454545454545455252e-01, -6.955028442631750732e-04
5.555555555555555802e-01, -7.185315827291135615e-04
5.656565656565657463e-01, -7.418194460333019883e-04
5.757575757575758013e-01, -7.653605449748703297e-04
5.858585858585858563e-01, -7.891489903529491038e-04
5.959595959595960224e-01, -8.131788929666698045e-04
6.060606060606060774e-01, -8.374443636151626246e-04
6.161616161616162435e-01, -8.619395130975582991e-04
6.262626262626262985e-01, -8.866584522129875631e-04
6.363636363636364646e-01, -9.115952917605812597e-04
6.464646464646465196e-01, -9.367441425394694736e-04
6.565656565656565746e-01, -9.620991153487838069e-04
6.666666666666667407e-01, -9.876543209876545611e-04
6.767676767676767957e-01, -1.013403870255212037e-03
6.868686868686869618e-01, -1.039341873950587513e-03
6.969696969696970168e-01, -1.065462442872911397e-03
7.070707070707071829e-01, -1.091759687821314533e-03
7.171717171717172379e-01, -1.118227719594927332e-03
7.272727272727272929e-01, -1.144860648992880418e-03
7.373737373737374590e-01, -1.171652586814305287e-03
7.474747474747475140e-01, -1.198597643858331698e-03
7.575757575757576801e-01, -1.225689930924090927e-03
7.676767676767677351e-01, -1.252923558810713168e-03
7.777777777777777901e-01, -1.280292638317329697e-03
7.878787878787879562e-01, -1.307791280243071142e-03
7.979797979797980112e-01, -1.335413595387067477e-03
8.080808080808081773e-01, -1.363153694548450414e-03
8.181818181818182323e-01, -1.391005688526349929e-03
8.282828282828283983e-01, -1.418963688119896866e-03
8.383838383838384534e-01, -1.447021804128222067e-03
8.484848484848485084e-01, -1.475174147350455942e-03
8.585858585858586745e-01, -1.503414828585729768e-03
8.686868686868687295e-01, -1.531737958633173522e-03
8.787878787878788955e-01, -1.560137648291918698e-03
8.888888888888889506e-01, -1.588608008361095053e-03
8.989898989898991166e-01, -1.617143149639834084e-03
9.090909090909091717e-01, -1.645737182927265764e-03
9.191919191919192267e-01, -1.674384219022521155e-03
9.292929292929293927e-01, -1.703078368724731534e-03
9.393939393939394478e-01, -1.731813742833026660e-03
9.494949494949496138e-01, -1.760584452146538026e-03
9.595959595959596689e-01, -1.789384607464395392e-03
9.696969696969697239e-01, -1.818208319585730036e-03
9.797979797979798899e-01, -1.847049699309673016e-03
9.898989898989899450e-01, -1.875902857435354310e-03
1.000000000000000000e+00, -1.904761904761904760e-03
