#Position [m], Von Mises Stress [Pa]
0.000000000000000000e+00, 6.000000000000000000e+04
1.010101010101010187e-02, 5.939393939393939218e+04
2.020202020202020374e-02, 5.878787878787878435e+04
3.030303030303030387e-02, 5.818181818181818380e+04
4.040404040404040747e-02, 5.757575757575756870e+04
5.050505050505051108e-02, 5.696969696969696815e+04
6.060606060606060774e-02, 5.636363636363636761e+04
7.070707070707071829e-02, 5.575757575757575978e+04
8.080808080808081495e-02, 5.515151515151515196e+04
9.090909090909091161e-02, 5.454545454545453686e+04
1.010101010101010222e-01, 5.393939393939394358e+04
1.111111111111111188e-01, 5.333333333333332121e+04
1.212121212121212155e-01, 5.272727272727272066e+04
1.313131313131313260e-01, 5.212121212121212739e+04
1.414141414141414366e-01, 5.151515151515150501e+04
1.515151515151515194e-01, 5.090909090909090446e+04
1.616161616161616299e-01, 5.030303030303029664e+04
1.717171717171717404e-01, 4.969696969696968881e+04
1.818181818181818232e-01, 4.909090909090908826e+04
1.919191919191919338e-01, 4.848484848484848044e+04
2.020202020202020443e-01, 4.787878787878787989e+04
2.121212121212121271e-01, 4.727272727272727207e+04
2.222222222222222376e-01, 4.666666666666667152e+04
2.323232323232323482e-01, 4.606060606060604914e+04
2.424242424242424310e-01, 4.545454545454545587e+04
2.525252525252525415e-01, 4.484848484848484077e+04
2.626262626262626521e-01, 4.424242424242423294e+04
2.727272727272727626e-01, 4.363636363636363967e+04
2.828282828282828731e-01, 4.303030303030302457e+04
2.929292929292929282e-01, 4.242424242424241675e+04
3.030303030303030387e-01, 4.181818181818182347e+04
3.131313131313131493e-01, 4.121212121212120837e+04
3.232323232323232598e-01, 4.060606060606060782e+04
3.333333333333333703e-01, 4.000000000000000000e+04
3.434343434343434809e-01, 3.939393939393939218e+04
3.535353535353535914e-01, 3.878787878787879163e+04
3.636363636363636465e-01, 3.818181818181818380e+04
3.737373737373737570e-01, 3.757575757575757598e+04
3.838383838383838675e-01, 3.696969696969697543e+04
3.939393939393939781e-01, 3.636363636363635305e+04
4.040404040404040886e-01, 3.575757575757575250e+04
4.141414141414141992e-01, 3.515151515151515196e+04
4.242424242424242542e-01, 3.454545454545453686e+04
4.343434343434343647e-01, 3.393939393939393631e+04
4.444444444444444753e-01, 3.333333333333333576e+04
4.545454545454545858e-01, 3.272727272727272430e+04
4.646464646464646964e-01, 3.212121212121211283e+04
4.747474747474748069e-01, 3.151515151515150865e+04
4.848484848484848619e-01, 3.090909090909090810e+04
4.949494949494949725e-01, 3.030303030303029664e+04
5.050505050505050830e-01, 2.969696969696969245e+04
5.151515151515152491e-01, 2.909090909090908463e+04
5.252525252525253041e-01, 2.848484848484847680e+04
5.353535353535353591e-01, 2.787878787878787989e+04
5.454545454545455252e-01, 2.727272727272726843e+04
5.555555555555555802e-01, 2.666666666666666060e+04
5.656565656565657463e-01, 2.606060606060605642e+04
5.757575757575758013e-01, 2.545454545454545223e+04
5.858585858585858563e-01, 2.484848484848484441e+04
5.959595959595960224e-01, 2.424242424242424022e+04
6.060606060606060774e-01, 2.363636363636363603e+04
6.161616161616162435e-01, 2.303030303030302457e+04
6.262626262626262985e-01, 2.242424242424242038e+04
6.363636363636364646e-01, 2.181818181818180892e+04
6.464646464646465196e-01, 2.121212121212120837e+04
6.565656565656565746e-01, 2.060606060606060419e+04
6.666666666666667407e-01, 1.999999999999999272e+04
6.767676767676767957e-01, 1.939393939393939581e+04
6.868686868686869618e-01, 1.878787878787878435e+04
6.969696969696970168e-01, 1.818181818181817653e+04
7.070707070707071829e-01, 1.757575757575756870e+04
7.171717171717172379e-01, 1.696969696969696452e+04
7.272727272727272929e-01, 1.636363636363636215e+04
7.373737373737374590e-01, 1.575757575757575250e+04
7.474747474747475140e-01, 1.515151515151514832e+04
7.575757575757576801e-01, 1.454545454545453686e+04
7.676767676767677351e-01, 1.393939393939393631e+04
7.777777777777777901e-01, 1.333333333333333030e+04
7.878787878787879562e-01, 1.272727272727272066e+04
7.979797979797980112e-01, 1.212121212121212011e+04
8.080808080808081773e-01, 1.151515151515151047e+04
8.181818181818182323e-01, 1.090909090909090446e+04
8.282828282828283983e-01, 1.030303030303029482e+04
8.383838383838384534e-01, 9.696969696969692450e+03
8.484848484848485084e-01, 9.090909090909088263e+03
8.585858585858586745e-01, 8.484848484848478620e+03
8.686868686868687295e-01, 7.878787878787876252e+03
8.787878787878788955e-01, 7.272727272727265699e+03
8.888888888888889506e-01, 6.666666666666663332e+03
8.989898989898991166e-01, 6.060606060606052779e+03
9.090909090909091717e-01, 5.454545454545449502e+03
9.191919191919192267e-01, 4.848484848484846225e+03
9.292929292929293927e-01, 4.242424242424236581e+03
9.393939393939394478e-01, 3.636363636363632850e+03
9.494949494949496138e-01, 3.030303030303023206e+03
9.595959595959596689e-01, 2.424242424242419474e+03
9.696969696969697239e-01, 1.818181818181816425e+03
9.797979797979798899e-01, 1.212121212121206554e+03
9.898989898989899450e-01, 6.060606060606032770e+02
1.000000000000000000e+00, 0.000000000000000000e+00
